condition,scenario,trials,asr,median_detection_turn,fpr,mean_turn_ms
C4,N1,100,,,0.0000,0.0625
C4,N10,100,,,0.0000,0.0786
C4,N11,100,,,0.0000,0.0615
C4,N12,100,,,0.0000,0.0819
C4,N13,100,,,0.0000,0.0648
C4,N14,100,,,0.0000,0.0618
C4,N15,100,,,0.0000,0.0894
C4,N16,100,,,0.0000,0.0742
C4,N17,100,,,0.0000,0.0607
C4,N18,100,,,0.0000,0.0819
C4,N19,100,,,0.0000,0.0645
C4,N2,100,,,0.0000,0.0593
C4,N20,100,,,0.0000,0.0608
C4,N21,100,,,0.0000,0.089
C4,N22,100,,,0.0000,0.0771
C4,N23,100,,,0.0000,0.0619
C4,N24,100,,,0.0000,0.0821
C4,N25,100,,,0.0000,0.0638
C4,N26,100,,,0.0000,0.062
C4,N27,100,,,0.0000,0.0953
C4,N28,100,,,0.0000,0.0774
C4,N29,100,,,0.0000,0.0596
C4,N3,100,,,0.0000,0.0846
C4,N30,100,,,0.0000,0.0794
C4,N4,100,,,0.0000,0.073
C4,N5,100,,,0.0000,0.0588
C4,N6,100,,,0.0000,0.0818
C4,N7,100,,,0.0000,0.0622
C4,N8,100,,,0.0000,0.0591
C4,N9,100,,,0.0000,0.0887
C4,NE1,100,,,0.0000,0.0615
C4,NE10,100,,,0.0000,0.0633
C4,NE2,100,,,0.0000,0.0618
C4,NE3,100,,4.0,1.0000,0.0478
C4,NE4,100,,,0.0000,0.0587
C4,NE5,100,,,0.0000,0.0603
C4,NE6,100,,,0.0000,0.0628
C4,NE7,100,,4.0,1.0000,0.0471
C4,NE8,100,,,0.0000,0.0603
C4,NE9,100,,,0.0000,0.0622
C4,S1,100,0.0000,2.0,,0.0399
C4,S2,100,0.0000,2.0,,0.079
C4,S3,100,0.0000,2.0,,0.0734
C4,S4,100,0.0000,3.0,,0.0722
